Party Name,Number of Diamonds,First Color of Diamond,Second Color of Diamond,Third Color of Diamond,Shape,Quantity,Date,Choice,Type
Shiv VipulBhai,6,Blue,Green,Green,Flower,22,2023-12-19,no,plain
Aditi Ornaments,2,Purple,Green,White,Diamond,10,2025-02-09,yes,plain
VirajBhai,3,Green,White,Pink,Round,2,2024-09-26,yes,micro
Aditi Ornaments,3,Ruby,Ruby,Purple,Oval,26,2024-03-18,yes,plain
Aditi Ornaments,1,Blue,Purple,Green,Oval,22,2023-09-15,yes,micro
SanjayBhai,2,White,Blue,White,Round,22,2023-03-22,yes,plain
SanjayBhai,8,Green,Ruby,Purple,Hexagon,14,2023-06-14,yes,micro
VirajBhai,3,Blue,Pink,Green,Square,14,2024-06-12,yes,micro
Shiv VipulBhai,6,Green,Purple,Purple,Diamond,10,2024-07-22,yes,plain
AshishBhai,2,Ruby,Green,Pink,Marquise,18,2023-04-12,yes,micro
VirajBhai,3,White,Green,Purple,Heart,6,2024-02-12,yes,plain
RakeshBhai,2,Ruby,Purple,Purple,Oval,18,2024-05-04,yes,plain
Aditi Ornaments,5,Blue,Purple,Blue,Hexagon,6,2023-10-09,no,plain
AshishBhai,3,Ruby,Pink,Purple,Oval,14,2024-06-22,yes,plain
Shiv VipulBhai,2,Purple,Purple,Purple,Club,18,2024-03-21,no,plain
AshishBhai,2,Pink,Ruby,Green,Round,22,2023-05-10,yes,plain
SanjayBhai,4,Blue,White,Purple,Hexagon,26,2023-12-15,yes,plain
SanjayBhai,5,Ruby,Ruby,White,Square,6,2023-12-08,yes,micro
RakeshBhai,3,Green,Pink,Green,Club,6,2025-02-23,yes,plain
Shiv VipulBhai,4,White,Pink,Purple,Flower,18,2025-02-25,yes,plain
SanjayBhai,4,Purple,Purple,Ruby,Club,10,2024-02-15,yes,micro
RakeshBhai,3,Ruby,Pink,Purple,Oval,22,2024-07-09,yes,plain
MRP MukeshBhai,6,Ruby,Ruby,White,Square,6,2023-05-27,yes,plain
